"Страна";"Дата";"Заражений";"Выздоровлений";"Смертей";"Заражений за день";"Выздоровлений за день";"Смертей за день"
Бурунди;19.03.2021;2563;773;3;21;0;0
Summer Olympics 2020;20.11.2020;0;0;0;0;0;0
Чехия;11.10.2020;117110;54980;987;3105;71;39
Ливан;09.04.2021;491928;398699;6592;2500;3438;43
Зимбабве;22.05.2021;38679;36445;1586;15;10;0
Узбекистан;09.01.2021;77530;75947;616;45;72;0
ОАЭ;10.08.2020;62704;56766;357;179;198;0
Бельгия;16.07.2020;63238;17253;9795;366;11;7
Малави;07.03.2021;32442;22373;1069;44;441;2
Мальдивы;24.12.2020;13558;13011;48;21;28;0
Иордания;30.06.2020;1132;882;9;4;15;0
Фиджи;21.08.2020;28;20;1;0;0;0
Танзания;04.10.2020;509;183;21;0;0;0
Ямайка;15.05.2021;47233;23013;843;83;118;5
Австралия;18.11.2020;27785;22339;907;8;1;0
Micronesia;30.08.2020;0;0;0;0;0;0
Албания;10.08.2020;6536;3379;200;125;37;1
Сьерра-Леоне;09.09.2020;2067;1622;72;3;9;0
Эфиопия;10.08.2020;23591;10411;420;773;205;13
Западный берег реки Иордан;01.01.2021;139223;118926;1418;1219;1743;18
Болгария;29.10.2020;48150;19695;1225;2689;536;28
Судно "Diamond Princess";03.02.2021;712;699;13;0;0;0
Испания;26.09.2020;716481;150376;31232;0;0;0
Барбадос;27.09.2020;190;178;7;0;0;0
Кения;17.06.2021;177282;122018;3434;660;812;6
Коморские острова;26.09.2020;478;458;7;4;5;0
Австрия;14.05.2021;635780;612523;10455;887;1269;11
Армения;05.05.2021;217900;201559;4178;493;452;13
Латвия;11.05.2021;124960;113430;2217;659;216;4
Япония;12.08.2020;51303;34969;1066;979;833;5
Хорватия;20.01.2021;226550;218358;4711;902;478;27
Судно "MS Zaandam";02.04.2021;9;7;2;0;0;0
Казахстан;04.09.2020;132924;104176;1878;570;0;0
Мали;31.07.2020;2535;1937;124;13;6;0
Польша;21.09.2020;79988;64604;2298;748;302;5
Мавритания;12.03.2021;17410;16752;442;16;8;0
Габон;22.04.2021;22228;18908;136;0;0;0
Панама;23.10.2020;127866;103985;2622;639;587;10
Буркина-Фасо;15.03.2021;12378;11974;144;6;9;0
Гана;13.03.2021;87480;82807;679;743;1508;23
ДР Конго;27.05.2021;31279;27649;781;31;25;1
Кирибати;22.06.2021;2;0;0;0;0;0
Индонезия;15.11.2020;467113;391991;15211;4106;3897;63
Шри-Ланка;30.12.2020;42702;34623;199;646;698;4
Турция;31.10.2020;375367;323971;10252;2213;1506;75
Эстония;25.03.2021;100437;71376;836;1429;463;13
Мальта;12.07.2020;674;660;9;0;2;0
Перу;01.06.2021;1955469;1905433;184021;0;0;238
Палау;23.12.2020;0;0;0;0;0;0
Швеция;19.09.2020;88237;0;5865;0;0;0
Венесуэла;27.09.2020;72691;62427;606;751;899;6
Исландия;22.02.2021;6049;5995;29;4;6;0
Marshall Islands;08.05.2021;4;4;0;0;0;0
Папский Престол;03.12.2020;27;15;0;0;0;0
Нигерия;18.08.2020;49895;37051;981;410;217;4
Соломоновы острова;17.11.2020;16;5;0;0;0;0
Малайзия;25.05.2021;525889;460061;2369;7289;3789;60
Уругвай;28.11.2020;5511;4185;75;208;78;1
