"Страна";"Дата";"Заражений";"Выздоровлений";"Смертей";"Заражений за день";"Выздоровлений за день";"Смертей за день"
Гайана;16.07.2020;315;156;19;2;0;1
Люксембург;07.09.2020;6960;6126;124;10;0;0
Греция;12.03.2021;217018;93764;6986;2357;0;49
Сент-Люсия;26.05.2021;4980;4727;77;12;37;0
Коста-Рика;25.10.2020;103088;62037;1282;0;0;0
Румыния;08.07.2020;30175;20799;1817;555;265;18
Багамские острова;31.12.2020;7871;6230;170;14;9;0
Марокко;06.04.2021;499025;485708;8865;696;546;8
Бенин;11.02.2021;4560;3772;56;0;0;0
Сингапур;08.08.2020;54929;48583;27;132;271;0
Иран;13.08.2020;336324;292058;19162;2625;1814;174
Тунис;21.12.2020;121718;87884;4199;1031;0;41
Экваториальная Гвинея;10.01.2021;5289;5154;86;0;0;0
Сент-Винсент и Гренадины;03.08.2020;55;45;0;0;0;0
Италия;14.11.2020;1144552;411434;44683;37249;12196;544
Гватемала;04.02.2021;161665;147486;5785;699;771;49
Босния и Герцеговина;01.10.2020;27749;20947;861;280;331;5
Молдавия;11.02.2021;167546;155557;3607;993;601;18
Бруней;07.03.2021;189;182;3;0;0;0
Либерия;16.06.2021;2535;2105;93;51;6;0
Вануату;10.06.2021;4;3;1;0;0;0
Боливия;01.10.2020;135716;96165;8001;405;636;36
Филиппины;20.07.2020;68898;23072;1835;1442;607;4
ЦАР;29.06.2020;3613;773;47;184;74;2
Восточный Тимор;10.07.2020;24;24;0;0;0;0
Самоа;08.01.2021;2;2;0;0;0;0
Антигуа и Барбуда;14.10.2020;112;100;3;1;3;0
Гамбия;16.08.2020;1872;401;63;183;54;9
Бахрейн;13.03.2021;130404;123671;481;579;501;1
Тонга;13.03.2021;0;0;0;0;0;0
Сенегал;20.07.2020;8948;6002;170;138;54;3
Ирландия;06.12.2020;74246;23364;2099;298;0;0
Никарагуа;08.02.2021;6299;4225;170;0;0;0
Мозамбик;09.11.2020;13823;11659;99;55;54;0
Украина;08.04.2021;1855806;1432220;37649;19546;10134;471
Сальвадор;27.11.2020;38405;35078;1102;177;483;4
Бангладеш;01.10.2020;364987;277078;5272;1508;1591;21
Германия;23.06.2021;3732439;3612840;90620;1135;3530;67
Нидерланды;22.02.2021;1075425;14117;15372;4202;56;32
Аргентина;14.02.2021;2025798;1827118;50236;4245;6153;48
Эсватини;30.04.2021;18458;17743;671;0;0;0
Руанда;30.05.2021;26918;25609;352;26;7;0
Индия;30.03.2021;12149335;11434301;162468;53480;41280;354
Того;28.05.2021;13432;12644;125;12;72;0
Сан-Марино;29.01.2021;2969;2695;65;28;11;0
Пакистан;14.09.2020;302424;290261;6389;404;455;6
Нигер;10.05.2021;5322;4904;192;3;19;0
Лихтенштейн;30.06.2020;83;81;1;0;0;0
Ливия;27.01.2021;116064;95406;1802;765;1119;13
Новая Зеландия;16.05.2021;2651;2607;26;5;6;0
Непал;19.01.2021;267992;262259;1969;348;441;4
Саудовская Аравия;23.02.2021;375668;366735;6470;335;323;4
Суринам;17.12.2020;5428;5240;117;27;1;0
Гаити;26.10.2020;9026;7373;232;11;0;1
Польша;24.08.2020;62310;42448;1960;548;265;5
Ботсвана;19.01.2021;18630;14624;88;0;0;0
Йемен;13.01.2021;2109;1419;612;2;3;0
Латвия;31.05.2021;133199;125712;2376;101;372;6
Япония;31.07.2020;36256;24774;1013;1586;750;6
Катар;24.10.2020;130965;127868;229;254;269;0
Бурунди;26.11.2020;677;575;1;4;0;0
Ливан;17.11.2020;107953;62395;839;1507;1132;12
Зимбабве;29.01.2021;32952;24872;1178;306;453;18
Панама;25.09.2020;109431;86158;2311;705;664;14
Мальдивы;15.03.2021;21666;19245;64;94;150;0
Мавритания;24.03.2021;17690;16947;447;32;9;0
Швеция;22.08.2020;83114;0;5810;160;0;0
Куба;20.08.2020;3565;2894;88;83;31;0
Литва;09.08.2020;2247;1692;64;22;6;0
Беларусь;18.09.2020;75230;73098;773;243;131;2
Мальта;30.06.2020;670;640;9;0;1;0
Австралия;12.04.2021;29429;23087;910;10;2;1
Турция;20.11.2020;435273;367592;12084;5103;3019;141
Косово и Метохия;28.06.2021;107331;105094;2262;32;30;2
Финляндия;25.11.2020;22652;16800;388;363;1500;4
Киргизия;28.03.2021;88092;84600;1495;146;0;0
Ирак;09.10.2020;397780;328097;9735;3214;4282;52
Афганистан;20.06.2021;101906;64401;4122;1385;526;92
Колумбия;23.05.2021;3232456;3026277;84724;21669;15043;496
Мьянма;16.08.2020;375;329;6;1;5;0
Израиль;13.09.2020;156220;116620;1155;3175;3395;17
Багамские острова;22.01.2021;8101;6720;175;13;0;0
Люксембург;29.11.2020;33409;24073;300;0;0;0
Эритрея;17.07.2020;251;155;0;0;6;0
Ангола;08.03.2021;21108;19657;515;22;10;1
Гайана;06.02.2021;7939;6962;180;52;61;1
Марокко;28.04.2021;510465;496583;9015;493;552;10
Коста-Рика;20.11.2020;129418;79372;1608;1187;521;9
Сент-Люсия;20.05.2021;4923;4606;77;17;25;0
Египет;17.04.2021;215484;162714;12694;845;544;41
Малайзия;01.03.2021;302580;275902;1140;1828;2486;5
Чад;12.12.2020;1751;1603;102;6;8;0
Мадагаскар;21.04.2021;33592;26610;569;390;319;6
Норвегия;24.03.2021;90104;17998;656;984;0;7
Уругвай;11.03.2021;67717;57773;683;1233;639;5
Вьетнам;08.08.2020;812;395;10;23;0;0
США;17.06.2021;33578017;"";600500;10634;"";317
Соломоновы острова;01.05.2021;20;20;0;0;0;0
Уганда;22.11.2020;17968;8611;172;301;0;4
Кот-д’Ивуар;04.01.2021;22800;22145;138;152;147;0
Замбия;30.04.2021;91586;89933;1251;53;81;1
Чили;15.10.2020;486496;459536;13434;1124;1463;19
Азербайджан;26.08.2020;35707;33281;522;148;91;1
Исландия;24.05.2021;6556;6476;29;0;0;0
Marshall Islands;06.02.2021;4;4;0;0;0;0
Папский Престол;14.03.2021;27;15;0;0;0;0
Сан-Томе и Принсипи;16.10.2020;932;896;15;3;0;0
Монако;03.01.2021;907;733;3;6;8;0
Черногория;12.04.2021;94419;88834;1381;150;329;8
Грузия;01.01.2021;228410;214992;2528;990;3265;23
Оман;07.02.2021;135674;127698;1534;633;432;2
Кабо-Верде;23.08.2020;3509;2540;37;54;2;0
ДР Конго;27.02.2021;25792;18951;707;101;665;0
Кирибати;24.01.2021;0;0;0;0;0;0
Республика Конго;10.09.2020;4891;3887;83;0;0;-31
Гана;26.11.2020;51225;50127;323;0;0;0
Буркина-Фасо;02.12.2020;3010;2667;68;79;23;0
ЮАР;13.10.2020;694537;625574;18028;1178;915;165
Дания;21.10.2020;37507;30921;690;630;435;2
Тринидад и Тобаго;19.09.2020;3853;1695;61;202;109;1
Габон;18.11.2020;9084;8957;58;0;0;0
Португалия;28.04.2021;835563;794781;16973;572;576;3
Словения;26.09.2020;5191;3457;146;184;104;1
Узбекистан;24.07.2020;19360;10472;106;374;323;3
Намибия;30.07.2020;2052;164;10;66;60;1
Палау;18.03.2021;0;0;0;0;0;0
Венгрия;21.08.2020;5098;3681;611;52;3;2
Перу;14.02.2021;1235298;1137412;112623;14550;6489;678
Эстония;24.12.2020;24009;15393;195;700;495;3
Индонезия;03.05.2021;1682004;1535491;45949;4730;4773;153
Шри-Ланка;15.06.2021;228256;192478;2315;2334;2014;55
Армения;09.02.2021;168300;160169;3126;123;293;3
Австрия;31.01.2021;414398;392497;7721;1190;1421;18
Белиз;17.09.2020;1567;742;19;31;46;0
Кения;28.12.2020;95992;77521;1664;69;98;6
Доминиканская Республика;08.09.2020;100131;73795;1889;233;567;25
Западный берег реки Иордан;21.06.2021;312811;306312;3554;138;72;3
Болгария;18.04.2021;386381;306678;15195;418;1441;57
Судно "Diamond Princess";19.05.2021;712;699;13;0;0;0
Бразилия;18.07.2020;2074860;1447408;78772;28532;18888;921
Папуа — Новая Гвинея;09.07.2020;11;8;0;0;0;0
Судно "MS Zaandam";16.12.2020;9;7;2;0;0;0
Summer Olympics 2020;14.10.2020;0;0;0;0;0;0
Лесото;05.09.2020;1148;528;31;0;0;0
Сербия;15.11.2020;84568;0;1009;3482;0;20
Китай;23.07.2020;86500;80737;4656;139;53;1
Северная Македония;02.10.2020;18363;15164;749;225;96;6
Таджикистан;30.08.2020;8516;7309;68;35;0;0
Беларусь;16.11.2020;115448;96462;1053;1263;619;7
Фиджи;08.05.2021;136;96;3;7;12;0
Танзания;25.03.2021;509;183;21;0;0;0
Литва;28.02.2021;199145;184785;3244;1802;1461;10
Куба;17.02.2021;40765;35324;277;824;608;3
Швейцария;02.01.2021;452296;317600;8009;0;0;61
Кувейт;18.09.2020;98528;88776;580;704;865;5
Micronesia;23.04.2021;1;1;0;0;0;0
Албания;13.05.2021;131890;121122;2426;45;1050;3
Сьерра-Леоне;17.04.2021;4020;2848;79;4;15;0
Эфиопия;13.05.2021;264960;215734;3951;593;926;13
Чехия;16.03.2021;1412962;1214530;23657;10542;474;278
Ливан;17.09.2020;26768;10217;263;685;583;4
Зимбабве;03.08.2020;4075;1057;80;154;41;10
Италия;12.04.2021;3779594;3140565;114612;9780;18010;358
ОАЭ;13.05.2021;542158;522356;1623;1512;1474;4
Бельгия;13.06.2021;1076338;0;25088;573;0;7
Сирия;02.01.2021;11616;5485;723;90;65;6
Бруней;20.12.2020;152;149;3;0;0;0
Йемен;18.07.2020;1581;701;443;5;6;3
Ботсвана;16.07.2020;522;48;1;123;10;0
Катар;14.12.2020;141121;138719;241;160;229;1
Бурунди;06.10.2020;514;472;1;0;0;0
Пакистан;20.11.2020;371508;328931;7603;2843;1389;42
Нидерланды;10.05.2021;1592742;26310;17602;5874;33;20
Сан-Марино;03.08.2020;716;657;42;0;0;0
Саудовская Аравия;10.08.2020;289947;253478;3199;1257;1439;32
Непал;16.07.2020;17344;11249;39;167;224;0
Ливия;08.07.2020;1268;306;36;86;11;1
Руанда;02.02.2021;15688;10745;205;229;473;7
Суринам;17.10.2020;5123;4936;109;10;15;0
Гаити;03.09.2020;8258;5870;206;34;0;5
Лихтенштейн;03.01.2021;2282;1810;44;23;0;0
Лаос;30.03.2021;49;45;0;0;0;0
Бутан;27.03.2021;871;867;1;1;0;0
Бангладеш;01.12.2020;467225;383224;6675;2293;2513;31
Никарагуа;28.07.2020;3672;2492;116;233;0;8
Мозамбик;24.08.2020;3440;1661;21;45;158;1
Сальвадор;05.10.2020;29539;24406;865;89;110;2
Кипр;18.04.2021;56376;39061;289;786;0;4
Аргентина;19.08.2020;312659;228725;6330;6693;5194;282
ЦАР;04.01.2021;4963;1924;63;0;0;0
Франция;25.03.2021;4484672;293410;93535;45661;3100;226
Маврикий;04.05.2021;1214;1111;17;3;3;0
Таиланд;21.03.2021;27803;26598;90;90;86;0
Филиппины;15.01.2021;496646;459737;9876;2041;485;137
Ирландия;30.09.2020;36155;23364;1804;415;0;1
Сенегал;15.01.2021;22396;18908;506;218;152;10
Антигуа и Барбуда;20.12.2020;153;143;5;1;2;0
Латвия;05.02.2021;70276;57653;1309;876;1945;28
Восточный Тимор;21.01.2021;53;49;0;0;0;0
Андорра;07.01.2021;8348;7615;84;0;0;0
Босния и Герцеговина;01.12.2020;89085;53724;2727;1184;955;46
Гватемала;01.08.2020;50979;37873;1959;1190;1057;35
Сент-Винсент и Гренадины;29.01.2021;896;232;2;69;58;0
Тунис;13.10.2020;32556;5032;478;0;0;0
Мавритания;07.12.2020;9679;7849;194;163;0;6
Боливия;01.12.2020;144810;122495;8963;102;793;6
Молдавия;21.07.2020;21442;14599;707;327;132;12
Словакия;30.03.2021;359330;255300;9624;1215;0;82
Алжир;08.05.2021;123900;86280;3321;208;131;6
Сингапур;01.03.2021;59948;59830;29;12;7;0
Бенин;21.07.2020;1602;782;31;0;0;0
Камбоджа;02.03.2021;878;482;0;34;4;0
Турция;10.04.2021;3798333;3301217;33702;52676;32539;248
Гвинея-Бисау;10.06.2021;3800;3542;68;6;4;0
Иран;24.02.2021;1598875;1365253;59736;8270;6712;73
Судно "MS Zaandam";18.10.2020;9;0;2;0;0;0
Папуа — Новая Гвинея;22.01.2021;835;790;9;0;0;0
Мали;17.05.2021;14194;9290;511;4;63;0
Бразилия;13.01.2021;8256536;7347080;205964;60899;62135;1274
Мексика;20.06.2021;2477283;1971470;231187;5542;4768;228
Гвинея;23.09.2020;10434;9801;65;47;21;0
Казахстан;14.04.2021;330319;289836;6179;2726;2086;0
Таджикистан;30.10.2020;10939;10182;82;39;54;0
Северная Македония;30.11.2020;61878;38946;1763;335;546;32
Китай;13.02.2021;101515;95500;4838;19;105;1
Афганистан;16.01.2021;53938;45465;2336;107;31;12
Кения;02.07.2020;6941;2109;152;268;20;3
Белиз;17.11.2020;4920;2660;96;37;52;2
Испания;07.03.2021;3149012;150376;71138;0;0;0
Барбадос;04.03.2021;3186;2651;37;23;45;0
Гайана;26.05.2021;16556;14144;374;321;138;13
Ангола;23.12.2020;16931;9729;393;129;0;0
Армения;27.07.2020;37390;26665;711;73;187;6
Австрия;05.08.2020;21566;19464;719;85;128;0
Коморские острова;07.03.2021;3596;3410;146;0;0;0
Люксембург;01.04.2021;61881;57366;749;239;274;3
Греция;26.08.2020;8987;3804;243;0;0;0
Египет;13.11.2020;110319;100847;6429;224;87;12
Доминиканская Республика;22.11.2020;138410;112552;2310;640;462;2
Перу;19.08.2020;549321;377453;67771;7828;3434;573
Уганда;04.04.2021;40962;40452;335;0;0;0
Замбия;31.10.2020;16432;15680;349;17;80;0
Венесуэла;04.03.2021;140960;133034;1364;577;531;6
Венгрия;16.02.2021;389622;298773;13837;823;765;85
Мадагаскар;09.11.2020;17223;16516;249;0;0;0
Намибия;02.02.2021;34270;32739;355;102;175;2
Сомали;22.09.2020;3465;2877;98;0;0;0
Эстония;10.10.2020;3846;2946;68;37;40;0
Гана;06.10.2020;46829;46060;303;0;0;0
Великобритания;20.09.2020;396746;2230;41866;3899;1;18
Южная Корея;01.01.2021;62593;43578;942;824;625;25
Кирибати;11.07.2020;0;0;0;0;0;0
Республика Конго;24.11.2020;5632;4988;93;0;0;0
ДР Конго;06.08.2020;9309;8048;215;56;227;0
Черногория;14.11.2020;26686;17151;385;577;247;8
Южный Судан;06.01.2021;3589;3131;63;0;0;0
Словения;10.12.2020;91922;69170;1949;1847;1733;49
Габон;12.09.2020;8643;7706;53;0;0;0
Тринидад и Тобаго;11.11.2020;5904;5284;111;24;46;0
ЮАР;21.12.2020;930711;796346;24907;8789;2432;216
Дания;13.12.2020;110305;79918;941;2645;1158;6
Буркина-Фасо;04.10.2020;2167;1419;59;13;22;0
Эквадор;24.06.2021;449483;415508;21377;376;0;10
Монголия;30.05.2021;57512;49754;272;891;434;4
Малави;14.09.2020;5697;3742;178;7;11;1
Оман;25.07.2020;74858;54061;371;1067;1054;12
Сейшельские острова;28.03.2021;4054;3548;18;58;230;0
Португалия;29.10.2020;132616;75702;2428;4224;1701;33
Кабо-Верде;06.11.2020;9224;8363;100;75;74;3
Азербайджан;03.11.2020;58282;45030;768;1242;551;15
Чили;23.12.2020;590914;561794;16228;1725;1949;11
Нигерия;31.05.2021;166518;158781;2099;203;2223;28
Вьетнам;01.03.2021;2448;1876;35;0;0;0
Кот-д’Ивуар;29.06.2020;9214;3996;66;113;188;0
Чад;22.10.2020;1410;1223;96;6;2;0
Малайзия;08.08.2020;9070;8774;125;7;47;0
Ямайка;13.07.2020;759;628;10;1;8;0
Сан-Томе и Принсипи;22.12.2020;1012;958;17;0;0;0
Marshall Islands;26.07.2020;0;0;0;0;0;0
Парагвай;22.05.2021;330457;272721;8235;3228;2205;120
Эритрея;14.01.2021;1805;1014;6;209;80;0
Багамские острова;09.07.2020;107;89;11;1;0;0
Румыния;01.01.2021;636201;566365;15841;3938;5572;74
Коста-Рика;14.09.2020;57361;21206;621;1907;278;31
Гондурас;18.06.2021;251149;91189;6719;1218;78;28
Финляндия;09.09.2020;8430;7500;337;93;150;1
Судан;22.05.2021;34889;27949;2568;0;0;0
Камерун;07.04.2021;57337;35261;851;0;0;0
Израиль;21.11.2020;328551;316603;2796;422;454;12
Гренада;02.06.2021;161;160;1;0;0;0
Сербия;11.04.2021;642208;0;5735;2732;0;35
Ирак;25.12.2020;589943;528872;12755;1140;1531;11
Боливия;27.12.2020;154843;130222;9098;494;253;5
Словакия;08.03.2021;323786;255300;7921;396;0;85
Молдавия;16.08.2020;30183;21220;896;278;312;1
Гватемала;07.08.2020;55270;43135;2168;931;1065;49
Андорра;13.01.2021;8818;8070;87;136;140;1
Босния и Герцеговина;27.12.2020;109691;75717;3953;361;593;30
Тунис;07.10.2020;24542;5032;364;2312;0;43
Мавритания;15.09.2020;7319;6839;161;24;4;0
Панама;15.04.2021;359830;349718;6183;314;400;6
Сент-Винсент и Гренадины;24.02.2021;1519;848;6;8;3;0
Экваториальная Гвинея;15.07.2020;3071;842;51;0;0;0
Камбоджа;28.03.2021;2233;1166;10;86;34;2
Швеция;16.03.2021;725289;0;13172;12762;0;26
Иран;29.01.2021;1405414;1196374;57807;6573;6399;71
Мальта;10.05.2021;30458;29828;417;11;23;0
Алжир;30.05.2021;128725;89625;3465;269;206;5
Бенин;16.08.2020;2063;1690;39;0;0;0
Сингапур;03.02.2021;59602;59320;29;18;19;0
Кипр;24.04.2021;61650;39061;298;889;0;1
Аргентина;28.07.2020;173355;75083;3179;5939;2508;120
Бангладеш;27.12.2020;509148;451961;7452;1049;1473;24
Бутан;05.03.2021;867;866;1;0;1;0
Мозамбик;15.09.2020;5713;3181;37;231;157;2
Никарагуа;19.08.2020;4311;2913;133;0;0;0
Сальвадор;15.10.2020;31061;26311;908;295;224;4
Доминика;09.06.2021;188;188;0;0;0;0
Сенегал;05.01.2021;19964;17690;428;161;75;4
Польша;14.03.2021;1906632;1560227;47178;17272;14076;110
Ирландия;22.10.2020;54476;23364;1871;1054;0;3
Восточный Тимор;30.12.2020;44;32;0;0;0;0
Самоа;17.07.2020;0;0;0;0;0;0
Латвия;09.07.2020;1154;1019;30;13;11;0
Антигуа и Барбуда;28.11.2020;141;130;4;0;0;0
Франция;15.03.2021;4138369;280563;90916;6474;811;333
Япония;10.06.2021;769694;717726;13925;2042;4075;71
ЦАР;26.01.2021;4980;4885;63;0;0;0
Филиппины;05.01.2021;479693;448375;9321;932;96;58
Таиланд;11.03.2021;26598;26000;85;58;54;0
Маврикий;08.04.2021;1171;730;12;4;23;0
Бурунди;16.10.2020;531;497;1;2;0;0
Катар;04.12.2020;139643;136872;239;166;131;0
Гамбия;26.06.2021;6069;5855;181;4;6;0
Саудовская Аравия;04.08.2020;281456;243713;2984;1363;1658;35
Лаос;08.03.2021;47;42;0;0;0;0
Лихтенштейн;25.01.2021;2522;2322;53;11;0;0
Суринам;25.09.2020;4817;4596;102;28;18;0
Россия;20.02.2021;4105424;3656314;81517;12775;17303;469
Руанда;12.07.2020;1337;684;4;38;21;0
Гаити;13.09.2020;8457;6120;216;0;0;0
Сан-Марино;13.08.2020;719;657;42;0;0;0
Пакистан;25.10.2020;328602;311075;6739;707;584;3
Micronesia;17.04.2021;1;1;0;0;0;0
Кувейт;04.12.2020;143917;139148;886;343;474;2
Сент-Китс и Невис;08.06.2021;83;51;0;0;0;0
Сьерра-Леоне;23.04.2021;4044;2914;79;0;0;0
Эфиопия;23.05.2021;269194;228757;4076;293;1677;8
Албания;23.05.2021;132209;128732;2444;33;131;2
Танзания;15.03.2021;509;183;21;0;0;0
Фиджи;30.05.2021;401;164;4;41;3;0
Беларусь;06.11.2020;104286;89555;1001;991;424;3
Швейцария;28.01.2021;519404;317600;9439;1699;0;47
Куба;07.02.2021;32831;26739;238;820;700;5
Литва;02.02.2021;183444;165099;2847;546;1336;17
Сирия;28.01.2021;13885;7329;906;62;69;6
Иордания;19.06.2021;745978;729663;9656;311;295;9
Зимбабве;13.08.2020;4990;1927;128;97;307;6
Ливан;22.08.2020;12191;3346;121;611;142;5
Бруней;02.09.2020;144;139;3;0;0;0
Чехия;22.03.2021;1467333;1262738;24810;-2214;9429;143
ОАЭ;23.05.2021;556107;536050;1651;1591;1569;3
Коста-Рика;04.09.2020;45680;18053;469;1222;198;9
Гондурас;28.06.2021;260331;92309;6922;703;0;6
Парагвай;16.05.2021;313527;260339;7596;1781;2001;62
Румыния;27.01.2021;718612;662400;18015;3174;3805;77
Багамские острова;03.07.2020;104;89;11;0;0;0
Эритрея;08.01.2021;1556;740;6;111;0;3
Джибути;10.06.2021;11570;11399;154;3;4;0
Гренада;11.05.2021;160;158;1;0;0;0
Израиль;26.10.2020;311187;294212;2468;884;1322;28
Summer Olympics 2020;30.04.2021;0;0;0;0;0;0
Ирак;03.12.2020;558767;487863;12361;2039;1550;21
Лесото;02.03.2021;10497;3768;295;2;0;0
Финляндия;30.08.2020;8077;7200;335;28;0;0
Судан;16.05.2021;34889;27949;2446;0;0;0
Камерун;03.05.2021;72250;35261;1107;0;0;0
Малави;30.11.2020;6028;5455;185;3;2;0
Кабо-Верде;16.11.2020;9840;9386;103;18;166;0
Сейшельские острова;02.03.2021;2618;2462;11;0;97;0
Монголия;08.05.2021;44820;29984;162;804;0;2
Эквадор;14.06.2021;439139;398645;21051;205;0;3
Оман;20.08.2020;83769;78386;609;163;198;6
Португалия;16.10.2020;95902;56066;2149;2608;985;21
Узбекистан;19.06.2021;105610;101311;718;391;293;1
Сан-Томе и Принсипи;26.11.2020;985;928;17;3;2;0
Marshall Islands;21.08.2020;0;0;0;0;0;0
Нигерия;05.05.2021;165273;155403;2065;58;32;2
Чили;27.11.2020;547243;522259;15278;1581;1012;43
Азербайджан;13.11.2020;71580;53001;927;1364;1015;22
Малайзия;29.07.2020;8956;8611;125;13;5;1
Ямайка;09.02.2021;17701;12362;359;403;44;1
Чад;30.09.2020;1200;1007;85;7;0;0
Кот-д’Ивуар;05.07.2020;10772;5067;74;310;260;2
Вьетнам;03.02.2021;1948;1461;35;66;1;0
Канада;16.02.2021;836455;782150;21395;4397;7447;97
Мадагаскар;21.10.2020;16810;16215;238;0;0;0
Эстония;04.10.2020;3607;2749;67;30;22;0
Замбия;14.10.2020;15616;14850;345;29;67;0
Перу;28.07.2020;395005;276452;54182;5288;3905;650
Намибия;28.02.2021;38845;36261;424;203;41;4
Венгрия;06.02.2021;375125;277949;13026;1561;2185;96
Венесуэла;26.03.2021;154905;143468;1543;740;559;11
Сомали;08.12.2020;4579;3529;121;0;0;0
Габон;06.09.2020;8601;7424;53;0;0;0
Словения;16.12.2020;100401;77453;2190;2120;2436;41
Черногория;30.09.2020;10772;7192;169;197;190;5
Буркина-Фасо;10.10.2020;2271;1542;61;17;26;1
Великобритания;10.12.2020;1792614;3790;63179;21066;9;516
Дания;07.12.2020;93177;72401;894;2046;1006;9
ЮАР;29.11.2020;787702;730633;21477;2563;7286;38
Тринидад и Тобаго;05.11.2020;5774;5024;111;10;31;1
Южная Корея;27.01.2021;76926;66016;1386;497;538;8
Республика Конго;29.10.2020;5290;3887;92;37;0;0
Гана;16.10.2020;47173;46527;310;0;0;0
Южный Судан;16.01.2021;3670;3181;63;0;0;0
ДР Конго;31.07.2020;9070;6796;215;60;359;0
Кирибати;01.07.2020;0;0;0;0;0;0
Китай;19.02.2021;101646;95998;4842;22;78;0
Северная Македония;26.12.2020;81425;58720;2427;529;538;26
Таджикистан;25.11.2020;11971;11395;86;39;40;0
Гвинея;13.11.2020;12537;10899;74;0;0;0
Папуа — Новая Гвинея;31.12.2020;780;661;9;0;0;0
Судно "MS Zaandam";26.09.2020;9;0;2;0;0;0
Афганистан;21.07.2020;35701;23741;1188;106;0;1
Казахстан;20.04.2021;346971;303437;6373;2831;2484;0
Мексика;26.06.2021;2503408;1988096;232521;5051;2637;175
Бразилия;07.01.2021;7961673;7081521;200498;87843;48235;1524
Мали;27.05.2021;14259;9523;514;3;9;0
Мьянма;26.06.2021;152356;135050;3290;783;271;8
Ангола;30.08.2020;2624;1063;107;73;22;0
Греция;19.12.2020;130485;93764;4102;901;0;58
Доминиканская Республика;31.10.2020;127018;104862;2245;686;376;9
Испания;02.04.2021;3291394;150376;75541;0;0;0
Барбадос;26.03.2021;3603;3419;41;10;15;1
Белиз;07.11.2020;4076;2353;68;60;23;1
Кения;12.07.2020;10105;2881;185;379;49;1
Коморские острова;02.04.2021;3712;3538;146;8;2;0
Египет;23.09.2020;102375;91843;5822;121;700;16
Австрия;11.08.2020;22245;20123;723;139;113;0
Армения;18.08.2020;41846;34982;832;145;327;8
Йемен;10.06.2021;6836;3689;1338;4;14;1
Ботсвана;08.06.2021;58095;53887;885;0;0;0
Бурунди;22.03.2021;2618;773;6;5;0;0
Польша;08.02.2021;1552686;1312856;39132;2431;5695;45
Того;01.02.2021;5092;4282;79;18;14;2
Индия;04.12.2020;9608211;9058822;139700;36652;42533;512
Сан-Марино;25.05.2021;5089;4995;90;0;0;0
Ливия;16.06.2021;189888;175471;3166;333;245;0
Новая Зеландия;01.03.2021;2382;2287;26;4;2;0
Лаос;28.09.2020;23;22;0;0;0;0
Суринам;03.03.2021;8953;8439;173;14;13;0
Гаити;24.04.2021;12944;11945;251;0;0;0
Нигер;15.02.2021;4702;4155;169;7;3;0
Япония;27.10.2020;98133;89465;1733;646;434;5
Непал;08.06.2021;595364;504530;8098;3870;6570;108
Саудовская Аравия;18.05.2021;435027;419761;7188;1047;847;14
Танзания;07.10.2020;509;183;21;0;0;0
Фиджи;16.08.2020;28;20;1;0;0;0
Албания;07.08.2020;6151;3227;189;135;72;1
Сьерра-Леоне;14.09.2020;2111;1636;72;2;0;0
Панама;07.01.2021;269091;212656;4321;4135;4036;38
Эфиопия;07.08.2020;21452;9415;380;552;388;15
Micronesia;04.09.2020;0;0;0;0;0;0
Австралия;23.11.2020;27843;22358;907;9;6;0
Швеция;06.02.2021;588062;0;12115;0;0;0
ОАЭ;07.08.2020;62061;56015;356;216;276;2
Бельгия;19.07.2020;63706;17289;9800;0;0;0
Чехия;16.10.2020;160112;66093;1283;11102;2743;53
Мальта;29.11.2020;9752;7557;133;143;139;1
Ливан;06.04.2021;482798;390209;6479;2296;3441;36
Зимбабве;25.05.2021;38706;36517;1587;10;46;1
Иордания;03.07.2020;1147;897;10;11;8;1
Турция;08.08.2020;239622;222656;5829;1172;1082;16
Мальдивы;21.12.2020;13501;12929;48;8;34;0
Кувейт;19.05.2021;294693;280940;1703;1119;1016;2
Тунис;15.03.2021;242124;209166;8404;290;1480;15
Гватемала;23.05.2021;247454;227600;8000;348;781;4
Молдавия;30.05.2021;255145;247444;6104;40;95;4
Словакия;28.09.2020;9343;4213;44;265;35;0
Вануату;13.01.2021;1;1;0;0;0;0
Либерия;27.01.2021;1932;1757;84;5;24;0
Италия;18.08.2020;254636;204142;35405;401;174;5
Бенин;30.05.2021;8058;7893;101;0;0;0
Алжир;16.08.2020;38583;27017;1370;450;373;10
Гвинея-Бисау;18.07.2020;1949;803;26;22;30;0
Камбоджа;18.10.2020;283;280;0;0;0;0
Мозамбик;30.04.2021;69917;65913;814;53;1372;0
Никарагуа;04.06.2021;7481;4225;187;0;0;0
Украина;11.11.2020;504423;230767;9214;10879;7237;196
Сальвадор;23.03.2021;63631;60681;1986;141;0;3
Германия;02.01.2021;1773540;1400810;34480;11036;12066;330
Бутан;23.09.2020;261;196;0;0;1;0
Аргентина;09.05.2021;3147740;2817165;67325;11582;18837;283
Эсватини;09.11.2020;6013;5732;117;10;8;0
Кипр;13.09.2020;1523;1281;21;3;0;0
Гамбия;12.11.2020;3697;3556;122;0;7;0
Таиланд;03.10.2020;3585;3388;59;2;2;0
Маврикий;28.08.2020;355;335;10;0;0;0
Россия;18.03.2021;4378656;3991385;92266;9713;11949;451
Франция;07.10.2020;696274;102061;32466;18953;618;80
Нидерланды;07.09.2020;78702;1617;6278;845;57;1
